,Content ID,Reaction Type,Datetime,scores,content type,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44,30,Studying,,,science,71168
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 16:03,45,Studying,,,technology,68738
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26,35,Studying,,,tennis,50339
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 20:47,12,Studying,,,travel,64880
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 16:46,50,Studying,,,veganism,49619
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 14:29,60,Studying,,,soccer,57783
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 19:21,12,Studying,,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 18:44,5,Studying,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021 21:05,5,Studying,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020 23:58,70,Studying,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020 3:57,75,Studying,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020 8:21,45,Studying,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021 23:48,15,Studying,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021 12:40,30,Studying,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021 3:21,20,Studying,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021 11:03,75,Studying,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 2:46,0,Studying,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 3:43,75,Studying,,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021 3:06,30,Studying,,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020 2:49,10,Studying,,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020 16:00,15,Studying,,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020 21:33,10,Studying,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 7:54,70,Studying,,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020 5:28,30,Studying,,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020 10:30,20,Studying,,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021 9:27,12,Studying,,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021 3:59,5,Studying,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020 17:01,10,healthy eating,,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020 0:11,45,healthy eating,,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 18:17,35,healthy eating,,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021 4:53,15,healthy eating,,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021 10:40,5,healthy eating,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 21:15,0,healthy eating,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021 1:00,5,healthy eating,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021 12:17,50,healthy eating,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 16:26,65,healthy eating,,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020 0:21,65,healthy eating,,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021 3:02,60,healthy eating,,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020 10:52,20,healthy eating,,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 7:59,35,healthy eating,,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020 11:15,65,healthy eating,,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021 5:56,50,healthy eating,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020 19:13,5,healthy eating,,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020 16:41,75,healthy eating,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021 15:36,72,healthy eating,,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020 8:48,15,healthy eating,,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020 14:06,70,healthy eating,,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020 12:15,72,healthy eating,,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021 1:27,30,healthy eating,,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020 0:09,60,healthy eating,,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021 7:56,50,healthy eating,,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/5/2021 18:00,50,healthy eating,,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020 23:37,5,healthy eating,,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021 2:42,30,healthy eating,,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021 8:38,10,healthy eating,,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020 8:00,35,healthy eating,,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020 16:57,60,healthy eating,,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021 23:58,75,healthy eating,,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020 16:47,70,healthy eating,,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020 19:16,5,healthy eating,,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020 22:46,10,healthy eating,,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,12/11/2020 14:08,15,healthy eating,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021 23:41,10,healthy eating,,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020 0:33,70,healthy eating,,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021 10:13,30,healthy eating,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,10/29/2020 19:41,65,healthy eating,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,5/14/2021 12:47,60,healthy eating,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020 5:40,0,healthy eating,,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,8/7/2020 4:09,72,healthy eating,,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/23/2020 21:19,72,healthy eating,,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,11/14/2020 23:53,72,healthy eating,,,,
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,8/4/2020 19:26,12,healthy eating,,,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,11/12/2020 4:54,30,healthy eating,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,4/3/2021 12:17,12,technology,,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020 22:15,70,technology,,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,10/27/2020 5:45,60,technology,,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,10/15/2020 9:11,15,technology,,,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,5/7/2021 9:16,60,technology,,,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,9/16/2020 8:39,5,technology,,,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,10/29/2020 15:38,20,technology,,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,5/24/2021 18:03,15,food,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2/25/2021 20:02,30,cooking,,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5/2/2021 3:45,5,cooking,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,1/28/2021 8:49,70,cooking,,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2/15/2021 13:06,35,cooking,,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,11/4/2020 21:25,10,cooking,,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,6/23/2020 22:12,65,cooking,,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2/16/2021 4:01,70,cooking,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,1/3/2021 8:44,30,cooking,,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,11/25/2020 12:45,72,cooking,,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,12/3/2020 16:47,50,cooking,,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,5/22/2021 21:03,50,cooking,,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,1/18/2021 13:39,70,cooking,,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,1/6/2021 0:35,20,cooking,,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/14/2021 14:33,72,cooking,,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,5/27/2021 15:21,12,cooking,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,7/21/2020 2:12,35,cooking,,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,5/26/2021 6:09,10,cooking,,,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2/25/2021 3:16,10,cooking,,,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,12/7/2020 22:50,45,cooking,,,,
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,10/24/2020 14:06,20,cooking,,,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,9/1/2020 21:18,35,cooking,,,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/10/2021 22:07,72,cooking,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2/12/2021 16:37,70,dogs,,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,4/28/2021 15:22,60,dogs,,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/24/2021 0:38,45,dogs,,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,3/18/2021 1:53,12,dogs,,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021 7:21,0,dogs,,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,12/23/2020 4:11,60,dogs,,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5/21/2021 7:23,5,dogs,,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,3/28/2021 23:25,50,dogs,,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,9/16/2020 7:33,35,dogs,,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,11/8/2020 10:53,20,dogs,,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/6/2021 5:23,60,dogs,,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/13/2021 23:35,0,dogs,,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,9/6/2020 22:35,70,dogs,,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/24/2020 9:31,30,dogs,,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2/7/2021 21:39,5,dogs,,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/21/2021 18:28,45,dogs,,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2/27/2021 0:21,10,dogs,,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,8/22/2020 12:06,12,dogs,,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,8/3/2020 6:29,70,dogs,,,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,8/2/2020 6:20,15,dogs,,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,6/4/2021 4:57,70,dogs,,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,10/21/2020 9:07,75,dogs,,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,12/26/2020 19:46,10,dogs,,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,3/2/2021 22:47,15,dogs,,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,3/31/2021 9:48,20,dogs,,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/14/2021 13:44,30,dogs,,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,12/27/2020 17:04,15,dogs,,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2/11/2021 3:51,15,dogs,,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/7/2020 19:07,30,dogs,,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/28/2020 8:31,30,dogs,,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/26/2020 5:27,30,dogs,,,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,9/26/2020 18:43,12,dogs,,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11/25/2020 13:01,15,dogs,,,,
161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,7/11/2020 5:51,60,dogs,,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/19/2021 16:23,60,dogs,,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/11/2020 18:31,30,dogs,,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11/2/2020 20:15,60,dogs,,,,
165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,10/1/2020 3:35,70,dogs,,,,
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2/11/2021 20:10,0,dogs,,,,
167,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2/7/2021 15:59,70,dogs,,,,
168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,10/17/2020 11:46,5,dogs,,,,
169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,8/9/2020 19:41,50,dogs,,,,
170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,2/1/2021 2:40,65,dogs,,,,
171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,1/30/2021 9:36,72,dogs,,,,
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,3/31/2021 15:24,70,technology,,,,
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2/5/2021 17:00,75,technology,,,,
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2/19/2021 16:29,60,technology,,,,
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,7/25/2020 0:00,12,technology,,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,7/13/2020 2:38,72,soccer,,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,1/13/2021 13:11,20,soccer,,,,
180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,1/2/2021 16:46,12,soccer,,,,
181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,11/26/2020 2:25,45,soccer,,,,
182,0bedca96-fb76-4287-a83c-17330ed39cce,want,8/25/2020 19:18,70,soccer,,,,
183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,2/1/2021 0:15,5,soccer,,,,
184,0bedca96-fb76-4287-a83c-17330ed39cce,love,6/4/2021 14:36,65,soccer,,,,
185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,8/19/2020 13:38,72,soccer,,,,
186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,4/22/2021 2:08,70,soccer,,,,
187,0bedca96-fb76-4287-a83c-17330ed39cce,super love,6/26/2020 10:33,75,soccer,,,,
188,0bedca96-fb76-4287-a83c-17330ed39cce,like,8/15/2020 18:16,50,soccer,,,,
189,0bedca96-fb76-4287-a83c-17330ed39cce,love,11/26/2020 13:42,65,soccer,,,,
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,4/14/2021 0:56,70,public speaking,,,,
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,7/21/2020 21:27,20,public speaking,,,,
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,3/29/2021 6:57,10,public speaking,,,,
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,5/20/2021 16:11,70,public speaking,,,,
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,11/2/2020 6:09,50,public speaking,,,,
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,10/24/2020 15:37,20,public speaking,,,,
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/7/2020 14:42,60,public speaking,,,,
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,3/4/2021 2:46,15,public speaking,,,,
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,1/7/2021 14:08,72,public speaking,,,,
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,7/6/2020 11:18,35,public speaking,,,,
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,3/27/2021 4:56,50,public speaking,,,,
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,11/21/2020 21:25,45,public speaking,,,,
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,8/22/2020 1:25,70,public speaking,,,,
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,6/14/2021 11:45,35,public speaking,,,,
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,7/15/2020 19:28,12,public speaking,,,,
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,3/21/2021 14:39,45,public speaking,,,,
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,4/7/2021 3:15,75,public speaking,,,,
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,4/24/2021 6:56,70,public speaking,,,,
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/30/2020 14:05,60,public speaking,,,,
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,7/19/2020 19:28,60,public speaking,,,,
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/21/2021 7:08,15,public speaking,,,,
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/31/2021 13:48,15,public speaking,,,,
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,12/24/2020 3:24,5,public speaking,,,,
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,5/27/2021 1:44,0,public speaking,,,,
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2/13/2021 4:14,0,public speaking,,,,
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,7/14/2020 4:36,72,public speaking,,,,
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,7/15/2020 16:03,10,public speaking,,,,
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,10/8/2020 17:23,50,public speaking,,,,
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,11/12/2020 23:55,60,public speaking,,,,
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2/21/2021 5:01,70,public speaking,,,,
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,7/9/2020 8:58,45,public speaking,,,,
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,6/26/2020 23:45,72,public speaking,,,,
223,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,11/20/2020 13:18,12,public speaking,,,,
224,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,5/29/2021 21:34,50,public speaking,,,,
225,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2/22/2021 2:48,20,public speaking,,,,
226,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/7/2021 18:39,15,public speaking,,,,
227,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,10/1/2020 15:10,72,public speaking,,,,
228,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,11/21/2020 8:24,5,public speaking,,,,
229,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,4/15/2021 13:50,15,public speaking,,,,
230,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,6/30/2020 1:14,65,public speaking,,,,
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,12/1/2020 15:06,70,public speaking,,,,
232,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,11/7/2020 0:47,15,public speaking,,,,
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,6/30/2020 13:08,75,science,,,,
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,8/4/2020 3:09,60,science,,,,
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/28/2020 7:01,45,science,,,,
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,10/25/2020 2:39,75,science,,,,
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,7/5/2020 3:37,12,science,,,,
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,4/28/2021 15:16,70,science,,,,
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,1/31/2021 0:54,20,science,,,,
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,8/29/2020 11:37,72,science,,,,
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,10/15/2020 12:09,45,science,,,,
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,8/2/2020 21:20,65,science,,,,
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,10/31/2020 21:46,15,science,,,,
245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,10/12/2020 9:40,60,science,,,,
246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,12/12/2020 12:22,70,science,,,,
247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,1/9/2021 16:37,50,science,,,,
248,5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,8/23/2020 4:39,5,science,,,,
249,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,12/22/2020 4:20,65,science,,,,
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,11/7/2020 8:49,0,science,,,,
251,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,4/17/2021 22:45,72,science,,,,
252,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,4/21/2021 0:21,15,science,,,,
253,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/19/2020 10:33,45,science,,,,
254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/6/2020 2:08,45,science,,,,
255,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,3/26/2021 5:42,65,science,,,,
258,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,9/13/2020 11:24,70,tennis,,,,
259,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,1/28/2021 21:06,12,tennis,,,,
260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,1/20/2021 1:15,20,tennis,,,,
261,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,9/3/2020 1:15,75,tennis,,,,
262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,1/9/2021 10:46,12,tennis,,,,
263,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,9/19/2020 22:29,20,tennis,,,,
264,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,5/29/2021 7:21,75,tennis,,,,
265,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,5/15/2021 19:04,12,tennis,,,,
266,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,8/15/2020 12:27,45,tennis,,,,
267,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,3/31/2021 15:51,0,tennis,,,,
268,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2/15/2021 3:32,35,tennis,,,,
269,0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,3/29/2021 19:03,15,tennis,,,,
